Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Center of Southwest Studies,Audio,Contact Institution,,,2002,Aaron Clay,,,,,
Center of Southwest Studies,Audio,Contact Institution,,,,Aaron Priestly,Christina Abeyta,,,"Oral history interview with Aaron Priestly by Christina Abeyta; About Narrator: No info provided.; Collection:M 063: Richard Ellis Papers - BOX 48 ; Notes:Interview conducted by a student in SW 330: Cowboys, Cattlemen and Popular Culture class.; 2005:11002.017 / Accn written on tape 2005:11002.064",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,November,26,1988,Abe Chavez,H. Ruth Lucero,,"Water, Construction","Navajo Dam--Construction
Navajo Dam (N.M.); About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 4 ; Notes:Finding Aid states: With photos and copied newspaper clippings.; By a Fort Lewis College Southwest Studies history student; and she transcribed it. Folder includes photo snapshots and other supplementary material. Release signed by Narrator (courtesy of researcher Molly Twarog who brought it to him from Todd), received at Center on 10/24/2003. Todd mailed him a copy of the interview on 10/24/2003.;",
Center of Southwest Studies,"Audio, Transcript","Contact Institution, Online",March,1,1966,Abe Zuni,Robert W. Delaney,,"Native American, Ute","Indians of North America - Colorado, Ute Indians, Four Corners region; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 29 ; Notes:San Juan Heritage broadcast series guest speaker on the topic of the modern Indian. Superintendent of the Consolidated Ute Agency. Third broadcast in a series of three programs on the American Indian: First Inhabitant of the San Juan Basin. Undated.; Master tape is one reel to reel tape of a KREZ television program entitled Assignment 6. Series co-hosts were Robert Delaney and former state Representative and long-time resident of the San Juan Basin, Arthur Wyatt. Circa 1966 March? Release has been signed by Dr. Delaney and by the Southwest Studies Center.; Found in Box #30, updated tape #. TA 11/11/2020; MP3 Available online LT 4/15",https://swcenter.fortlewis.edu/finding_aids/MP3/FLCu004436.mp3
Center of Southwest Studies,Audio,Contact Institution,April,19,2000,Abel Lopez,Stephen Hull,"Durango, La Plata County","Hispanic, Education & Schools, Racial Relations","Hispanic Americans--Colorado--Durango--Biography 
Students--Colorado--Durango
Durango (Colo.)--Race relations; About Narrator: Hispanic-American resident of Durango.; Collection:U004: Southwest Oral History - BOX 36 ; Notes:By a student of Southwest Studies 341, oral history. Interviewing the son of Herold Lopez.; Found in Box #37. TA 11/13/2020",
Center of Southwest Studies,Audio,Contact Institution,,,,Ada Long,Lara Gray,,,,
Center of Southwest Studies,Audio,Contact Institution,November,19,2002,Adam LaPointe,T.J.,,,,
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",,,1994,Adela Quintana,Unidentified speaker,,,Four Corners Region ; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 16 ; Notes:Background hum. By a Fort Lewis College student of Farren Webb's (?) in 1994?; box number changed from box 10 GF 11/11/202,
Center of Southwest Studies,Audio,Online,October,19,2001,Al Bell,Whitney Fletcher-Howell,"Durango, La Plata County","Hispanic, Law Enforcement, Racial Relations",Hispanic Americans--Colorado--Durango--Biography Durango (Colo.)--Race relations Durango (Colo.)--Race relations; About Narrator: No biographical questionnaire was completed.; Collection:U004: Southwest Oral History - BOX 41 ; Notes:Discussing Durango's Spanish community and its relations with the Durango police. (On same tape as # 637.); MP3 Available online,https://swcenter.fortlewis.edu/finding_aids/MP3/FLCu004639.mp3
Center of Southwest Studies,Audio,Contact Institution,April,13,1999,Al Henderson,"Gregory ""Greg"" Wauneka","Durango, La Plata County","Education & Schools, Navajo","College students--Colorado--Durango--Biography 
Navajo Indians--Education 
Four Corners region; About Narrator: Navajo Fort Lewis College student.; Collection:U001: FLC Oral Histories - BOX 35 ; Notes:Recorded on Side B of the tape containing interview #532.; Tabitha checked off but could not be found 12/16 by Gretchen",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",December,20,1976,Al Ruland,Duane Smith,"Durango, La Plata County",,No general subjects listed.; About Narrator: No info provided.; Collection:U003: Durango Oral Histories ; Notes: ;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,January,28,1991,Alberta Pargin,Leon Pargin,"Ignacio, La Plata County",Pioneer,"Pioneers--Colorado--Ignacio
Ignacio (Colo.)--History
; About Narrator: Author of * Durango Herald* column ""Sally Says""-; Collection:U004: Southwest Oral History - BOX 15 ; Notes:(Transcription is with unpub'd MSS, not in U004 box.). With co-narrator Mary Pargin Moore. Begins with Mary reading a written family history. Narrators are not distinguished on the transcript which was formatted and edited by the Archivist on March 11, 1997.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,27,1995,Alden B. Naranjo,Chris Blair,"Ignacio, La Plata County, Southern Ute Reservation","Ute, Native American","Ute Indians--History Ute Indians
Ignacio (Colo.)--History
; About Narrator: Worked for past 20 years with the Ute Tribal Police and with BIA Law Enforcement Division.; Collection:U004: Southwest Oral History - BOX 25 ; Notes:By a Southwest Studies history student of Richard Ellis's.; MP3 Available online",
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",November,27,1991,Alex Seowtewa,Clarita Enque,,Native American,"Zuni Indians, Zuni Pueblo (N.M.); About Narrator: Pueblo of Zuni; Collection:U004: Southwest Oral History - BOX 18 ; Notes:Southwest Studies student at Fort Lewis College; On minicassette only. By a Fort Lewis College Southwest history student of Richard Ellis. Folder contains a newspaper clipping (Native Sun, June 1991) about the Seowtewa family's work on the old Zuni mission. This is on a mini-cassette; we can't play it.; Minicasette",
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",September,15,1976,Alfred Carlyon,Duane Smith,"Durango, La Plata County","Education & Schools, Local Business","Universities and colleges--Colorado--Durango Businesses--Colorado--Durango Durango (Colo.)--History
; About Narrator: No info provided.; Collection:U003: Durango Oral Histories ; Notes: ;",
Center of Southwest Studies,Audio,Contact Institution,March,28,2000,Alice Baker,Anthony M. Begay,"Durango, Ignacio, La Plata County","Hispanic, Racial Relations","Interracial marriages--Colorado Hispanic Americans--Colorado--Durango
Ignacio (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 36 ; Notes:By a student of Southwest Studies 341, oral history.; Found in Box #37. TA 11/13/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,30,1992,Alice Hunt Paxton,Barb Fjerstad,"La Plata County, Durango",Education & Schools,"Schools--Colorado--La Plata County Teachers--Colorado--La Plata County
Durango (Colo.)--History
; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 15 ; Notes: ;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,July,16,1990,Alice Lancaster,Duane A. Smith,"Dolores, Montezuma County, Dolores County, Dove Creek","Homesteading, Education & Schools","Homesteaders--Colorado--Sylvan School teachers--Colorado--Biography Dove Creek (Colo.)--History; About Narrator: Mrs. Al Lancaster, now deceased.; Collection:U004: Southwest Oral History-Box 9 ; Notes:Much of side B is blank. Transcribed by Center of Southwest Studies staff on March 4, 1992. Copies of transcription given to family members (all except John were present) who signed the release in a meeting at Center of Southwest Studies on 8/26/2005. They also signed a release for a 4-hour interview session that Roy Crow did with both Al and Alice Lancaster in the 1960s that the family plans to donate to the Center to be transcribed. On 10/6/2005 Todd mailed both release forms to John Lancaster to sign, which he did on 10/12/05.;",
